pathway_id	gene_id	counts
hsa00061	27349	3
hsa00061	31	7
hsa00061	32	8
hsa00061	51703	7
hsa00061	54995	4
hsa00061	55301	2
hsa00061	81616	6
hsa00062	10449	5
hsa00062	10965	4
hsa00062	11332	2
hsa00062	122970	3
hsa00062	1892	11
hsa00062	201562	4
hsa00062	3030	12
hsa00062	3032	5
hsa00062	3033	8
hsa00062	51102	3
hsa00062	51144	5
hsa00062	54898	3
hsa00062	5538	4
hsa00062	60481	3
hsa00062	641371	3
hsa00062	64834	1
hsa00062	6785	1
hsa00062	79071	4
hsa00062	79993	1
hsa00062	83401	1
hsa00062	9200	4
hsa00062	9374	4
hsa00062	9524	4
hsa00071	10449	5
hsa00071	10455	2
hsa00071	124	8
hsa00071	125	8
hsa00071	126	8
hsa00071	126129	5
hsa00071	127	8
hsa00071	128	10
hsa00071	130	8
hsa00071	131	8
hsa00071	1374	5
hsa00071	1375	5
hsa00071	1376	3
hsa00071	1579	5
hsa00071	1632	1
hsa00071	1892	11
hsa00071	1962	12
hsa00071	217	13
hsa00071	2180	7
hsa00071	2181	7
hsa00071	2182	7
hsa00071	219	13
hsa00071	223	12
hsa00071	224	13
hsa00071	23205	6
hsa00071	23305	7
hsa00071	2639	4
hsa00071	284541	2
hsa00071	30	8
hsa00071	3030	12
hsa00071	3032	5
hsa00071	3033	8
hsa00071	33	4
hsa00071	34	8
hsa00071	35	6
hsa00071	36	4
hsa00071	37	3
hsa00071	38	13
hsa00071	39	14
hsa00071	501	15
hsa00071	51	8
hsa00071	51703	7
hsa00071	81616	6
hsa00071	8310	8
hsa00072	3155	5
hsa00072	3157	5
hsa00072	3158	6
hsa00072	38	13
hsa00072	39	14
hsa00072	5019	3
hsa00072	56898	3
hsa00072	622	3
hsa00072	64064	3
hsa00100	1056	5
hsa00100	10682	2
hsa00100	10826	2
hsa00100	120227	2
hsa00100	1591	3
hsa00100	1594	3
hsa00100	1595	2
hsa00100	1717	2
hsa00100	1718	2
hsa00100	2222	2
hsa00100	3988	2
hsa00100	4047	2
hsa00100	50814	2
hsa00100	51478	4
hsa00100	6307	2
hsa00100	6309	2
hsa00100	6646	1
hsa00100	6713	2
hsa00100	7108	2
hsa00100	8435	1
hsa00120	10005	3
hsa00120	10858	1
hsa00120	10998	4
hsa00120	1109	4
hsa00120	1581	5
hsa00120	1582	3
hsa00120	1593	3
hsa00120	23600	3
hsa00120	3295	3
hsa00120	51302	1
hsa00120	570	6
hsa00120	6342	4
hsa00120	6718	3
hsa00120	80270	2
hsa00120	8309	4
hsa00120	9023	1
hsa00120	9420	2
hsa00130	10229	2
hsa00130	1728	1
hsa00130	2677	1
hsa00130	27235	2
hsa00130	3242	4
hsa00130	51004	2
hsa00130	51805	2
hsa00130	6898	7
hsa00130	79001	1
hsa00130	84274	2
hsa00140	10720	11
hsa00140	10941	11
hsa00140	1109	4
hsa00140	1312	4
hsa00140	1543	7
hsa00140	1544	9
hsa00140	1545	6
hsa00140	1551	4
hsa00140	1571	8
hsa00140	1576	9
hsa00140	1577	6
hsa00140	1581	5
hsa00140	1583	3
hsa00140	1584	2
hsa00140	1585	2
hsa00140	1586	4
hsa00140	1588	3
hsa00140	1589	2
hsa00140	1645	2
hsa00140	1646	3
